run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
18,59,4.275321416983702,52,12,10.521348237991333,"mul(protectedSqrt(protectedDiv(protectedDiv(protectedDiv(mul(y, 0.9028), protectedSqrt(0.558)), mul(protectedSin(0.7855), protectedSqrt(-0.404))), protectedSqrt(protectedSqrt(protectedSqrt(protectedSqrt(-0.404)))))), mul(add(-0.404, mul(mul(mul(y, x), protectedDiv(y, -0.3056)), mul(sub(y, -0.1405), protectedSqrt(y)))), protectedSin(neg(protectedSqrt(neg(protectedSqrt(mul(-0.6953, add(protectedSqrt(mul(-0.6953, add(y, y))), y)))))))))",sqrt(y*0.9028/sqrt(0.558)/(protectedSin(0.7855)*sqrt(-0.404))/sqrt(sqrt(sqrt(sqrt(-0.404)))))*((-0.404+y*x*(y/-0.3056)*((y--0.1405)*sqrt(y)))*protectedSin(-(sqrt(-(sqrt(-0.6953*(sqrt(-0.6953*(y+y))+y)))))))
19,60,12925.618430187345,81,17,7.276733875274658,"mul(mul(sub(mul(mul(protectedDiv(add(y, x), protectedSqrt(x)), y), y), sub(sub(protectedSqrt(protectedDiv(protectedDiv(mul(mul(protectedDiv(add(y, x), protectedSqrt(x)), mul(y, add(x, x))), y), protectedSqrt(x)), mul(sub(mul(sub(mul(x, mul(sub(mul(x, x), protectedDiv(x, protectedSin(protectedSqrt(x)))), x)), protectedDiv(x, mul(y, add(x, add(x, x))))), sub(mul(y, add(x, x)), add(x, y))), x), x))), x), y)), y), add(add(x, -0.4885), mul(x, y)))",((y+x)/sqrt(x)*y*y-(sqrt((y+x)/sqrt(x)*(y*(x+x))*y/sqrt(x)/(((x*((x**2-x/protectedSin(sqrt(x)))*x)-x/(y*(x+(x+x))))*(y*(x+x)-(x+y))-x)*x))-x-y))*y*(x+-0.4885+x*y)
20,61,353.8136221132704,88,17,9.122976541519165,"add(mul(add(protectedSin(protectedSin(sub(protectedSqrt(-0.5889), y))), sub(sub(add(y, y), -0.5451), protectedDiv(sub(protectedSqrt(-0.5889), y), add(add(add(y, y), mul(protectedSin(protectedSin(sub(add(add(sub(y, -0.5451), y), mul(protectedSin(protectedSin(sub(protectedSqrt(-0.5889), sub(y, -0.5451)))), y)), y))), add(y, y))), sub(add(y, y), -0.5451))))), mul(sub(y, -0.5451), mul(mul(x, sub(y, -0.5451)), add(y, y)))), add(neg(add(add(y, y), mul(protectedSin(protectedSin(sub(protectedSqrt(-0.5889), sub(y, add(y, y))))), y))), protectedDiv(x, -0.5451)))",(protectedSin(protectedSin(sqrt(-0.5889)-y))+(y+y--0.5451-(sqrt(-0.5889)-y)/(y+y+protectedSin(protectedSin(y--0.5451+y+protectedSin(protectedSin(sqrt(-0.5889)-(y--0.5451)))*y-y))*(y+y)+(y+y--0.5451))))*((y--0.5451)*(x*(y--0.5451)*(y+y)))+(-(y+y+protectedSin(protectedSin(sqrt(-0.5889)-(y-(y+y))))*y)+x/-0.5451)
21,62,20400.518284775953,75,14,7.205845832824707,"mul(mul(neg(protectedSqrt(neg(neg(sub(add(sub(neg(0.3246), x), mul(add(y, x), neg(mul(add(mul(mul(y, y), -0.1717), y), y)))), sub(add(y, mul(neg(mul(y, y)), y)), mul(mul(y, add(y, x)), mul(y, sub(neg(mul(x, y)), x))))))))), y), sub(mul(neg(y), add(x, y)), mul(add(neg(add(mul(0.0466, x), y)), add(mul(mul(y, y), -0.1717), y)), mul(0.3246, x))))",-(sqrt(-(-(-0.3246-x+(y+x)*-((y**2*-0.1717+y)*y)-(y+-(y**2)*y-y*(y+x)*(y*(-(x*y)-x)))))))*y*(-y*(x+y)-(-(0.0466*x+y)+(y**2*-0.1717+y))*(0.3246*x))
22,63,187.7145442102683,30,7,5.119006156921387,"sub(mul(y, mul(sub(mul(sub(mul(y, x), y), neg(-0.6972)), y), neg(y))), mul(neg(mul(mul(y, protectedDiv(y, 0.1721)), y)), sub(mul(y, x), 0.2765)))",y*(((y*x-y)*--0.6972-y)*-y)--(y*(y/0.1721)*y)*(y*x-0.2765)
23,64,641.6019169311826,96,15,9.895564556121826,"add(mul(add(y, add(add(y, mul(x, add(y, neg(x)))), add(y, add(y, x)))), -0.6681), protectedDiv(mul(add(mul(protectedSqrt(-0.6681), add(protectedDiv(y, protectedSqrt(-0.6681)), protectedDiv(protectedDiv(y, protectedSqrt(-0.6681)), protectedDiv(y, mul(0.3932, add(y, mul(x, add(y, neg(x))))))))), add(y, protectedDiv(mul(add(y, add(y, y)), neg(mul(y, y))), neg(protectedSqrt(-0.6681))))), neg(mul(x, protectedDiv(y, protectedDiv(protectedDiv(x, mul(protectedSqrt(-0.6681), neg(mul(protectedDiv(neg(y), mul(x, add(add(y, y), protectedDiv(y, -0.1054)))), y)))), mul(x, add(y, neg(y)))))))), -0.6681))",(y+(y+x*(y+-x)+(y+(y+x))))*-0.6681+(sqrt(-0.6681)*(y/sqrt(-0.6681)+y/sqrt(-0.6681)/(y/(0.3932*(y+x*(y+-x)))))+(y+(y+(y+y))*-(y**2)/-(sqrt(-0.6681))))*-(x*(y/(x/(sqrt(-0.6681)*-(-y/(x*(y+y+y/-0.1054))*y))/(x*(y+-y)))))/-0.6681
24,65,519.0252198631479,126,17,13.386333465576172,"mul(neg(mul(add(protectedDiv(add(-0.9285, 0.9244), mul(protectedSin(mul(y, neg(neg(protectedDiv(neg(add(protectedDiv(add(-0.9285, 0.9244), 0.4953), sub(protectedSin(add(y, y)), -0.5047))), protectedSqrt(protectedDiv(y, 0.935))))))), 0.508)), sub(add(protectedSqrt(sub(protectedSin(y), protectedSin(sub(protectedDiv(protectedDiv(add(-0.9285, 0.9244), mul(protectedSin(0.935), protectedSin(mul(y, protectedSin(protectedSin(0.935)))))), -0.9685), neg(y))))), -0.8236), protectedDiv(y, 0.4953))), sub(sub(mul(mul(x, y), add(y, -0.7821)), protectedSin(protectedSin(mul(sub(protectedSin(y), protectedDiv(y, 0.4953)), 0.508)))), sub(-0.9685, mul(x, y))))), neg(neg(protectedDiv(neg(add(protectedDiv(add(-0.9285, 0.9244), protectedSin(mul(y, neg(neg(protectedDiv(neg(add(protectedDiv(add(-0.9285, 0.9244), y), sub(protectedSin(add(y, y)), -0.5047))), protectedSqrt(y))))))), sub(protectedSin(y), protectedDiv(y, 0.4953)))), protectedSqrt(neg(protectedSin(0.935)))))))",-(((-0.9285+0.9244)/(protectedSin(y*-(-(-((-0.9285+0.9244)/0.4953+(protectedSin(y+y)--0.5047))/sqrt(y/0.935))))*0.508)+(sqrt(protectedSin(y)-protectedSin((-0.9285+0.9244)/(protectedSin(0.935)*protectedSin(y*protectedSin(protectedSin(0.935))))/-0.9685--y))+-0.8236-y/0.4953))*(x*y*(y+-0.7821)-protectedSin(protectedSin((protectedSin(y)-y/0.4953)*0.508))-(-0.9685-x*y)))*-(-(-((-0.9285+0.9244)/protectedSin(y*-(-(-((-0.9285+0.9244)/y+(protectedSin(y+y)--0.5047))/sqrt(y))))+(protectedSin(y)-y/0.4953))/sqrt(-(protectedSin(0.935)))))
25,66,27782.144820442936,193,16,13.67323637008667,"mul(protectedDiv(mul(protectedSqrt(x), add(sub(neg(x), add(x, sub(neg(y), add(y, protectedDiv(sub(protectedSin(add(y, mul(y, y))), y), protectedDiv(-0.3866, x)))))), add(sub(x, add(x, sub(neg(protectedDiv(protectedSin(y), protectedDiv(mul(protectedSqrt(y), add(sub(neg(x), add(x, y)), sub(y, x))), mul(y, protectedDiv(sub(-0.3866, y), protectedDiv(-0.3866, x)))))), add(y, protectedDiv(sub(0.533, y), protectedDiv(-0.3866, x)))))), protectedDiv(protectedSin(y), protectedDiv(mul(protectedSqrt(y), add(sub(neg(x), add(x, y)), add(sub(neg(y), add(x, neg(x))), y))), mul(y, protectedDiv(sub(protectedSin(sub(y, x)), y), protectedDiv(-0.3866, x)))))))), protectedSin(protectedSqrt(0.6017))), add(add(y, protectedDiv(mul(neg(protectedDiv(protectedSin(y), protectedDiv(mul(protectedSqrt(y), add(sub(neg(x), add(x, y)), add(x, neg(x)))), mul(protectedDiv(protectedSin(y), protectedDiv(mul(protectedSqrt(y), add(sub(neg(x), add(x, y)), add(sub(neg(y), x), y))), mul(y, protectedDiv(sub(protectedSin(sub(y, -0.3866)), y), protectedDiv(-0.3866, x))))), protectedDiv(sub(protectedSin(sub(y, x)), y), protectedDiv(-0.3866, x)))))), protectedSin(mul(y, y))), x)), add(add(add(y, mul(y, y)), sub(y, x)), sub(y, x))))",sqrt(x)*(-x-(x+(-y-(y+(protectedSin(y+y**2)-y)/(-0.3866/x))))+(x-(x+(-(protectedSin(y)/(sqrt(y)*(-x-(x+y)+(y-x))/(y*((-0.3866-y)/(-0.3866/x)))))-(y+(0.533-y)/(-0.3866/x))))+protectedSin(y)/(sqrt(y)*(-x-(x+y)+(-y-(x+-x)+y))/(y*((protectedSin(y-x)-y)/(-0.3866/x))))))/protectedSin(sqrt(0.6017))*(y+-(protectedSin(y)/(sqrt(y)*(-x-(x+y)+(x+-x))/(protectedSin(y)/(sqrt(y)*(-x-(x+y)+(-y-x+y))/(y*((protectedSin(y--0.3866)-y)/(-0.3866/x))))*((protectedSin(y-x)-y)/(-0.3866/x)))))*protectedSin(y**2)/x+(y+y**2+(y-x)+(y-x)))
26,67,1441.132537500484,94,15,8.906328201293945,"mul(add(y, mul(y, y)), add(mul(x, mul(y, sub(protectedDiv(mul(0.9328, protectedDiv(y, sub(protectedDiv(x, x), neg(-0.6304)))), mul(0.8122, neg(-0.6304))), 0.9328))), mul(sub(protectedDiv(protectedDiv(add(x, add(sub(x, y), add(x, y))), sub(protectedDiv(x, mul(sub(protectedDiv(protectedDiv(add(add(neg(y), add(0.6306, x)), y), sub(add(y, x), neg(-0.6304))), add(y, x)), neg(protectedDiv(add(x, y), -0.6304))), mul(y, y))), neg(-0.6304))), add(add(neg(y), add(0.6306, x)), mul(y, y))), neg(-0.6304)), add(x, protectedSqrt(protectedDiv(0.027, 0.9061))))))",(y+y**2)*(x*(y*(0.9328*(y/(x/x---0.6304))/(0.8122*--0.6304)-0.9328))+((x+(x-y+(x+y)))/(x/(((-y+(0.6306+x)+y)/(y+x---0.6304)/(y+x)--((x+y)/-0.6304))*y**2)---0.6304)/(-y+(0.6306+x)+y**2)---0.6304)*(x+sqrt(0.027/0.9061)))
27,68,152.20153958017147,42,9,6.8966383934021,"protectedDiv(mul(mul(x, y), add(add(protectedSin(0.109), -0.4943), mul(neg(neg(y)), y))), protectedDiv(neg(0.3745), sub(add(-0.1921, sub(protectedSin(protectedSin(neg(-0.3554))), sub(y, -0.4943))), sub(protectedSqrt(add(add(protectedSin(-0.1921), -0.4943), mul(neg(neg(y)), y))), -0.478))))",x*y*(protectedSin(0.109)+-0.4943+-(-y)*y)/(-0.3745/(-0.1921+(protectedSin(protectedSin(--0.3554))-(y--0.4943))-(sqrt(protectedSin(-0.1921)+-0.4943+-(-y)*y)--0.478)))
28,69,3158.857558513842,74,16,8.143266677856445,"mul(add(protectedSin(protectedSin(sub(-0.2678, protectedSqrt(mul(protectedSin(protectedSin(mul(protectedSin(protectedSin(sub(0.9404, y))), protectedSin(sub(protectedSin(protectedSin(sub(protectedSin(y), y))), protectedSin(add(neg(y), y))))))), protectedSin(sub(sub(neg(y), protectedSin(y)), protectedSin(add(-0.2678, y))))))))), add(protectedSin(mul(-0.7857, y)), y)), neg(mul(sub(neg(y), protectedSin(sub(y, sub(-0.0069, protectedSqrt(sub(protectedSqrt(sub(0.9404, y)), y)))))), add(sub(sub(0.9404, x), x), mul(protectedDiv(-0.8644, -0.0069), x)))))",(protectedSin(protectedSin(-0.2678-sqrt(protectedSin(protectedSin(protectedSin(protectedSin(0.9404-y))*protectedSin(protectedSin(protectedSin(protectedSin(y)-y))-protectedSin(-y+y))))*protectedSin(-y-protectedSin(y)-protectedSin(-0.2678+y)))))+(protectedSin(-0.7857*y)+y))*-((-y-protectedSin(y-(-0.0069-sqrt(sqrt(0.9404-y)-y))))*(0.9404-x-x+-0.8644/-0.0069*x))
29,70,13.821056304426474,77,12,9.969272136688232,"add(sub(x, mul(protectedSin(sub(-0.8057, protectedDiv(y, -0.7361))), protectedDiv(-0.7361, mul(y, mul(x, mul(protectedSin(add(-0.8057, protectedSin(protectedSin(-0.3532)))), protectedDiv(protectedSin(-0.3532), mul(protectedSqrt(mul(add(y, y), y)), mul(x, add(0.6614, x)))))))))), add(y, protectedDiv(add(protectedSin(add(-0.8057, protectedSin(add(-0.8057, -0.7053)))), mul(add(protectedSqrt(mul(add(y, y), sub(-0.8057, protectedDiv(y, -0.7361)))), protectedSqrt(y)), y)), mul(protectedSin(add(-0.8057, -0.7053)), protectedDiv(protectedSin(-0.3532), mul(y, mul(x, y)))))))",x-protectedSin(-0.8057-y/-0.7361)*(-0.7361/(y*(x*(protectedSin(-0.8057+protectedSin(protectedSin(-0.3532)))*(protectedSin(-0.3532)/(sqrt((y+y)*y)*(x*(0.6614+x))))))))+(y+(protectedSin(-0.8057+protectedSin(-0.8057+-0.7053))+(sqrt((y+y)*(-0.8057-y/-0.7361))+sqrt(y))*y)/(protectedSin(-0.8057+-0.7053)*(protectedSin(-0.3532)/(y*(x*y)))))
30,71,545.4870883754121,89,15,7.491743803024292,"mul(add(protectedSin(protectedSqrt(sub(y, 0.8523))), y), add(mul(y, mul(x, sub(mul(y, mul(y, y)), sub(y, sub(neg(sub(0.1467, protectedSqrt(y))), add(mul(sub(sub(sub(x, add(protectedSin(protectedSqrt(y)), add(protectedSqrt(x), y))), y), x), protectedSin(mul(0.1467, mul(y, y)))), neg(y))))))), sub(neg(sub(0.1467, add(protectedSin(sub(y, 0.8523)), add(protectedSqrt(sub(y, 0.1467)), x)))), add(mul(sub(sub(0.3735, y), 0.8523), protectedSin(mul(0.1467, mul(y, add(protectedSin(protectedSqrt(y)), add(protectedSqrt(sub(y, 0.1467)), x)))))), y))))",(protectedSin(sqrt(y-0.8523))+y)*(y*(x*(y*y**2-(y-(-(0.1467-sqrt(y))-((x-(protectedSin(sqrt(y))+(sqrt(x)+y))-y-x)*protectedSin(0.1467*y**2)+-y)))))+(-(0.1467-(protectedSin(y-0.8523)+(sqrt(y-0.1467)+x)))-((0.3735-y-0.8523)*protectedSin(0.1467*(y*(protectedSin(sqrt(y))+(sqrt(y-0.1467)+x))))+y)))
