run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,simplified_expr
1,42,9.081344101701024e-05,108,17,3.283406972885132,"protectedDiv(cos(add(add(add(add(protectedSqrt(x), mul(neg(add(protectedSqrt(protectedDiv(x, neg(protectedSqrt(cos(protectedSqrt(x)))))), -0.0188)), -0.0188)), mul(cos(protectedDiv(x, protectedSqrt(cos(add(cos(add(protectedDiv(x, x), mul(-0.0188, -0.0188))), protectedSqrt(protectedDiv(x, neg(neg(add(protectedSqrt(x), -0.0188)))))))))), -0.0188)), mul(cos(protectedDiv(x, protectedSqrt(cos(add(cos(add(protectedDiv(x, neg(neg(add(protectedSqrt(x), -0.0188)))), mul(neg(add(x, -0.0188)), -0.0188))), protectedSqrt(x)))))), -0.0188)), mul(cos(protectedDiv(x, protectedSqrt(cos(add(cos(add(protectedDiv(x, neg(neg(add(protectedSqrt(x), -0.0188)))), mul(mul(mul(mul(protectedDiv(x, x), cos(x)), -0.0188), cos(x)), -0.0188))), protectedSqrt(x)))))), -0.0188))), sin(protectedLog(0.267)))",-1.0322*cos(-sqrt(x) - 0.0188*sqrt(-x/sqrt(cos(sqrt(x)))) + 0.0188*cos(x/sqrt(cos(sqrt(x) + cos(x/(sqrt(x) - 0.0188) + 0.0004*cos(x)**2)))) + 0.0188*cos(x/sqrt(cos(sqrt(x) + cos(0.0188*x + x/(sqrt(x) - 0.0188) - 0.0004)))) + 0.0188*cos(x/sqrt(cos(sqrt(x/(sqrt(x) - 0.0188)) + 0.54))) + 0.0004)
2,43,3.1178080296692863e-06,17,14,1.850872278213501,"neg(cos(sin(protectedDiv(x, cos(protectedSqrt(sin(cos(sin(cos(sin(protectedDiv(x, cos(protectedSqrt(x))))))))))))))",-cos(sin(x/cos(sqrt(sin(cos(sin(cos(sin(x/cos(sqrt(x)))))))))))
3,44,6.14141347761153e-06,49,16,2.708780288696289,"neg(cos(protectedDiv(neg(x), cos(sin(mul(protectedSqrt(neg(protectedSqrt(cos(protectedDiv(x, cos(mul(sub(protectedSqrt(x), protectedSqrt(-0.0143)), x))))))), cos(protectedDiv(x, cos(sin(mul(protectedDiv(cos(protectedDiv(neg(x), mul(cos(x), cos(x)))), cos(-0.0143)), cos(protectedDiv(neg(x), mul(cos(x), cos(0.8508)))))))))))))))",-cos(x/cos(sin(sqrt(-sqrt(cos(x/cos(x*(sqrt(x) - 0.1196*I)))))*cos(x/cos(sin(1.0001*cos(x/cos(x)**2)*cos(1.5166*x/cos(x))))))))
4,45,4.750430866243652e-06,26,17,1.8747193813323975,"neg(cos(sin(protectedDiv(sin(x), cos(protectedSqrt(neg(protectedDiv(x, protectedDiv(sin(neg(x)), cos(cos(neg(protectedDiv(sin(x), cos(cos(protectedSqrt(sin(x)))))))))))))))))",-cos(sin(sin(x)/cos(sqrt(x*cos(cos(sin(x)/cos(cos(sqrt(sin(x))))))/sin(x)))))
5,46,4.71031895454057e-05,7,5,1.315842628479004,"neg(cos(neg(sin(protectedDiv(x, 0.6629)))))",-cos(sin(1.5085*x))
6,47,0.0004188522951528762,8,6,1.2929613590240479,"neg(cos(cos(protectedSqrt(protectedLog(protectedDiv(x, 0.9858))))))",-cos(cos(sqrt(log(x) + 0.0143)))
7,48,0.00010360975620098286,67,17,2.4688477516174316,"neg(cos(protectedSqrt(protectedDiv(protectedSqrt(protectedSqrt(cos(protectedDiv(protectedSqrt(protectedSqrt(cos(protectedDiv(protectedSqrt(protectedSqrt(protectedDiv(0.8981, x))), protectedDiv(0.8981, protectedDiv(0.8981, x)))))), protectedDiv(protectedDiv(0.8981, x), protectedDiv(protectedSqrt(protectedSqrt(protectedDiv(protectedDiv(protectedSqrt(protectedSqrt(x)), protectedDiv(0.8981, mul(x, x))), protectedDiv(0.8981, x)))), protectedDiv(protectedSqrt(protectedSqrt(cos(protectedSqrt(protectedDiv(protectedSqrt(x), protectedDiv(0.8981, x)))))), x))))))), protectedDiv(0.8981, protectedDiv(protectedSqrt(protectedSqrt(protectedDiv(x, protectedDiv(0.8981, x)))), protectedDiv(0.8981, x)))))))",-cos(1.1285*sqrt(x*(x**2)**(1/4)*cos(1.1749*x**2*(x**(13/4))**(1/4)*cos(0.9735*(1/x)**(1/4)/x)**(1/4)/cos(1.0552*sqrt(x**(3/2)))**(1/4))**(1/4)))
8,49,0.00014556335956186973,81,12,5.161245346069336,"sub(protectedDiv(mul(sin(sin(protectedSqrt(protectedLog(mul(protectedLog(mul(mul(protectedLog(x), -0.215), protectedSqrt(protectedSqrt(x)))), protectedSqrt(cos(protectedSqrt(0.6793)))))))), protectedDiv(protectedExp(protectedLog(-0.0999)), cos(mul(mul(mul(mul(protectedLog(x), -0.215), 0.4475), mul(mul(x, -0.215), cos(protectedLog(-0.0999)))), neg(x))))), cos(mul(mul(protectedLog(mul(mul(protectedLog(x), -0.215), protectedSqrt(protectedLog(sin(cos(-0.4429)))))), sin(cos(x))), mul(mul(0.6793, sin(sin(protectedSqrt(x)))), cos(protectedLog(mul(mul(protectedLog(x), -0.215), protectedSqrt(protectedLog(sin(cos(-0.4429))))))))))), cos(x))",-0.0999*sin(sin(sqrt(log(0.8241*log(-0.215*x**(1/4)*log(x))))))/(cos(0.0207*x**2*log(x)*cos(2.3036 - I*pi))*cos(0.6793*log(-0.1056*I*log(x))*sin(sin(sqrt(x)))*sin(cos(x))*cos(log(-0.1056*I*log(x))))) - cos(x)
9,50,3.398319695293951e-05,82,16,4.338528633117676,"sub(mul(sin(sub(protectedSqrt(0.0968), protectedSqrt(x))), cos(add(protectedSqrt(x), protectedExp(0.3332)))), cos(mul(mul(mul(x, protectedSqrt(cos(add(protectedSqrt(x), protectedExp(0.3332))))), neg(sin(neg(sin(sin(sin(protectedDiv(mul(0.4514, cos(neg(protectedSqrt(x)))), sub(0.7372, 0.7403))))))))), cos(mul(protectedDiv(mul(0.4514, x), sin(neg(sin(sin(sin(protectedDiv(mul(0.4514, cos(neg(protectedSqrt(x)))), sub(0.7372, 0.7403)))))))), neg(neg(sin(sin(protectedDiv(mul(sin(protectedDiv(cos(neg(protectedSqrt(x))), sub(0.7372, 0.7403))), cos(x)), protectedSqrt(x)))))))))))",-sin(sqrt(x) - 0.3111)*cos(sqrt(x) + 1.3954) - cos(x*sin(sin(sin(sin(145.6129*cos(sqrt(x))))))*cos(0.4514*x*sin(sin(sin(322.5806*cos(sqrt(x)))*cos(x)/sqrt(x)))/sin(sin(sin(sin(145.6129*cos(sqrt(x)))))))*sqrt(cos(sqrt(x) + 1.3954)))
10,51,6.618878305634544e-05,19,14,1.8276898860931396,"neg(cos(cos(protectedSqrt(mul(protectedLog(x), cos(protectedLog(protectedSqrt(mul(protectedLog(x), cos(cos(cos(protectedLog(protectedLog(x))))))))))))))",-cos(cos(sqrt(log(x)*cos(log(log(x)*cos(cos(cos(log(log(x))))))/2))))
