run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,simplified_expr
1,42,0.0046997452638094924,48,15,3.241494655609131,"mul(neg(mul(neg(x), protectedSqrt(mul(protectedExp(x), mul(add(protectedExp(x), sub(protectedExp(sin(add(0.5671, mul(add(add(protectedExp(x), neg(0.791)), x), add(x, neg(0.791)))))), sub(sin(0.7603), sin(add(0.5671, mul(add(-0.5215, x), protectedSqrt(sin(x)))))))), x))))), protectedSqrt(protectedExp(sin(x))))",x*sqrt(x*(exp(x) + exp(sin((x - 0.791)*(x + exp(x) - 0.791) + 0.5671)) + sin((x - 0.5215)*sqrt(sin(x)) + 0.5671) - 0.6891)*exp(x))*sqrt(exp(sin(x)))
2,43,0.003587009566989495,32,17,1.8567731380462646,"mul(protectedExp(add(x, mul(x, sin(protectedSqrt(mul(mul(x, sin(protectedSqrt(mul(protectedSqrt(protectedSqrt(mul(mul(mul(x, sin(x)), x), x))), x)))), add(protectedLog(-0.6477), sub(x, -0.4509)))))))), x)",x*exp(x*(sin(sqrt(x*(x + 0.0166 + I*pi)*sin(sqrt(x*(x**3*sin(x))**(1/4))))) + 1))
3,44,0.0017521712418249076,58,17,3.146846055984497,"protectedDiv(x, protectedDiv(protectedExp(sub(-0.587, x)), protectedExp(sub(x, protectedSqrt(protectedDiv(sin(mul(protectedSqrt(protectedDiv(sin(mul(neg(x), add(protectedSqrt(protectedDiv(mul(x, mul(x, x)), -0.587)), mul(protectedExp(sub(-0.587, x)), x)))), protectedSqrt(cos(protectedExp(sub(-0.587, mul(x, mul(x, x)))))))), add(0.4789, mul(protectedExp(sub(-0.587, mul(x, mul(x, x)))), x)))), x))))))",1.7986*x*exp(2*x - sqrt(sin(sqrt(-sin(x*(0.556*x*exp(-x) + 1.3052*sqrt(-x**3)))/sqrt(cos(0.556*exp(-x**3))))*(0.556*x*exp(-x**3) + 0.4789))/x))
4,45,0.00016767957562284025,46,12,2.8565032482147217,"mul(protectedDiv(x, cos(x)), sub(add(protectedExp(x), protectedSqrt(add(protectedExp(sin(x)), mul(cos(add(cos(sub(add(protectedExp(x), mul(x, x)), protectedExp(x))), protectedSqrt(cos(-0.1195)))), sin(sub(add(protectedExp(x), x), protectedSqrt(protectedSqrt(protectedSqrt(cos(-0.1195)))))))))), protectedSqrt(protectedSqrt(protectedDiv(x, x)))))",x*(sqrt(exp(sin(x)) + sin(x + exp(x) - 0.9991)*cos(cos(x**2) + 0.9964)) + exp(x) - 1)/cos(x)
5,46,0.006697801122685902,15,6,1.8298439979553223,"protectedDiv(add(x, mul(x, x)), protectedExp(neg(add(x, mul(add(x, -0.9501), x)))))",x*(x + 1)*exp(x*(x + 0.0499))
6,47,0.0005300083990140335,72,17,3.3905513286590576,"protectedDiv(mul(add(cos(mul(add(cos(sub(add(cos(sub(add(cos(mul(protectedDiv(-0.197, x), protectedDiv(-0.197, sin(x)))), sin(x)), x)), sin(add(sin(x), x))), x)), sin(x)), sin(protectedExp(x)))), x), x), mul(protectedSqrt(protectedDiv(-0.197, x)), cos(sin(cos(sub(x, protectedExp(mul(protectedDiv(-0.197, cos(sub(add(cos(mul(protectedDiv(-0.197, x), protectedDiv(protectedDiv(-0.197, x), sin(sin(x))))), sin(x)), x))), protectedDiv(-0.197, x)))))))))",2.253*x*(x + cos((sin(x) + cos(-x + sin(x + sin(x)) + cos(-x + sin(x) + cos(0.0388/(x*sin(x))))))*sin(exp(x))))/(sqrt(-1/x)*cos(sin(cos(x - exp(0.0388/(x*cos(-x + sin(x) + cos(0.0388/(x**2*sin(sin(x)))))))))))
7,48,0.0001803070298863589,41,16,2.401625633239746,"mul(mul(protectedExp(protectedSqrt(mul(protectedSqrt(mul(mul(mul(sub(mul(protectedSqrt(mul(mul(sub(protectedSqrt(x), -0.3273), mul(x, x)), protectedSqrt(x))), mul(x, x)), -0.3273), x), x), x)), x))), add(x, mul(x, x))), protectedSqrt(protectedSqrt(protectedSqrt(protectedSqrt(x)))))",x**(17/16)*(x + 1)*exp(sqrt(x*sqrt(x**3*(x**2*sqrt(0.3273*x**(5/2) + x**3) + 0.3273))))
8,49,0.0044676683722484675,16,8,1.6424083709716797,"mul(x, protectedExp(add(sin(sin(mul(mul(mul(x, x), x), neg(protectedLog(-0.3382))))), x)))",x*exp(x + sin(sin(x**3*(1.0841 - I*pi))))
9,50,0.0007126869742100115,67,16,2.987147569656372,"mul(protectedExp(x), mul(add(mul(x, sub(protectedSqrt(sin(add(mul(protectedSqrt(sin(add(mul(protectedSqrt(protectedLog(mul(x, x))), x), add(0.5318, protectedSqrt(sub(0.5318, 0.4136)))))), mul(mul(x, x), 0.5318)), add(0.5318, protectedSqrt(protectedLog(sub(x, 0.4136))))))), cos(mul(protectedSqrt(mul(x, protectedExp(sin(add(mul(protectedSqrt(protectedLog(mul(x, x))), x), add(0.5318, protectedSqrt(sub(cos(-0.1297), 0.4136)))))))), x)))), add(0.5318, 0.648)), x))",x*(x*(sqrt(sin(0.5318*x**2*sqrt(sin(x*sqrt(log(x**2)) + 0.8756)) + sqrt(log(x - 0.4136)) + 0.5318)) - cos(x*sqrt(x*exp(sin(x*sqrt(log(x**2)) + 1.2921))))) + 1.1798)*exp(x)
10,51,0.001551194930025345,43,16,2.521205186843872,"mul(x, add(add(mul(sin(sin(add(protectedSqrt(sub(sin(x), x)), sin(x)))), x), x), protectedExp(mul(protectedSqrt(mul(mul(add(protectedDiv(protectedSqrt(sin(add(protectedSqrt(sub(sin(sin(x)), add(-0.0348, x))), x))), cos(x)), x), x), x)), sin(x)))))",x*(x*sin(sin(sqrt(-x + sin(x)) + sin(x))) + x + exp(sqrt(x**2*(x + sqrt(sin(x + sqrt(-x + sin(sin(x)) + 0.0348)))/cos(x)))*sin(x)))
11,52,0.004005960435343701,46,14,2.484414577484131,"mul(protectedExp(add(sin(mul(add(sin(mul(add(sin(sin(add(x, sin(x)))), mul(sin(mul(x, mul(x, x))), x)), sin(sin(protectedSqrt(protectedSqrt(sin(neg(x)))))))), mul(x, x)), sin(sin(mul(sin(x), protectedSqrt(mul(sin(x), x))))))), x)), sin(x))",exp(x + sin((x**2 + sin((x*sin(x**3) + sin(sin(x + sin(x))))*sin(sin((-sin(x))**(1/4)))))*sin(sin(sqrt(x*sin(x))*sin(x)))))*sin(x)
12,53,4.136897520543783e-32,21,5,1.8544869422912598,"add(mul(add(mul(mul(x, x), x), x), mul(x, add(mul(x, x), x))), add(x, mul(x, x)))",x*(x**2*(x + 1)*(x**2 + 1) + x + 1)
13,54,0.0028481791069967606,34,15,2.3922321796417236,"add(mul(sub(x, protectedDiv(mul(mul(protectedExp(neg(cos(add(protectedSqrt(protectedSqrt(neg(mul(protectedExp(x), protectedSqrt(x))))), x)))), add(protectedExp(x), neg(cos(add(protectedSqrt(x), x))))), x), protectedLog(0.2265))), x), x)",x*(0.6734*x*(exp(x) - cos(sqrt(x) + x))*exp(-cos(x + (-sqrt(x)*exp(x))**(1/4))) + x) + x
14,55,0.0029410375745555265,66,15,3.8155972957611084,"add(protectedDiv(mul(mul(protectedExp(add(mul(0.3066, add(mul(0.3066, add(mul(-0.4092, -0.3969), protectedLog(mul(protectedExp(x), mul(cos(add(-0.3866, 0.3066)), sub(x, sub(0.6165, x))))))), protectedSqrt(x))), x)), x), cos(add(-0.3866, x))), mul(sub(sin(cos(-0.5697)), protectedLog(neg(x))), protectedSqrt(sin(mul(x, protectedSqrt(sin(protectedExp(x)))))))), sin(protectedLog(sub(neg(protectedDiv(x, 0.5091)), neg(neg(neg(protectedDiv(x, 0.5091))))))))",nan
