run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,simplified_expr
1,42,0.0002254774036683788,42,15,2.79689884185791,"mul(neg(mul(neg(mul(protectedSqrt(protectedSqrt(protectedSqrt(protectedSqrt(sub(-0.1798, mul(protectedSqrt(protectedSqrt(sub(-0.1798, x))), mul(protectedSqrt(protectedSqrt(sub(-0.1798, x))), x))))))), x)), add(0.6281, protectedSqrt(mul(x, protectedSqrt(add(x, cos(protectedDiv(x, protectedSqrt(protectedExp(x))))))))))), protectedSqrt(protectedExp(x)))",x*(-x*sqrt(-x - 0.1798) - 0.1798)**(1/16)*(sqrt(x*sqrt(x + cos(x/sqrt(exp(x))))) + 0.6281)*sqrt(exp(x))
2,43,0.0012740716194801069,45,15,2.2553322315216064,"mul(sub(sub(sub(sub(x, sin(sin(sin(x)))), neg(sub(x, sub(sin(sub(sub(sub(sub(x, x), neg(sub(x, sub(x, protectedDiv(x, 0.8068))))), x), neg(x))), protectedDiv(x, 0.8068))))), x), neg(x)), protectedExp(sin(sin(sin(sin(sin(x)))))))",(3.2395*x - sin(1.2395*x) - sin(sin(sin(x))))*exp(sin(sin(sin(sin(sin(x))))))
3,44,0.0004855148835669704,28,10,2.1603493690490723,"mul(x, add(add(-0.587, protectedExp(x)), protectedSqrt(add(protectedDiv(add(-0.587, protectedExp(protectedSqrt(x))), protectedExp(add(x, add(add(-0.587, protectedExp(x)), protectedSqrt(x))))), add(x, -0.2061)))))",x*(sqrt(x + 1.7986*(exp(sqrt(x)) - 0.587)*exp(-sqrt(x) - x - exp(x)) - 0.2061) + exp(x) - 0.587)
4,45,8.782965480281272e-05,96,17,3.4935407638549805,"mul(x, sub(add(sub(add(protectedExp(x), protectedSqrt(mul(cos(x), sin(cos(protectedDiv(add(add(protectedExp(x), protectedSqrt(sub(0.9611, 0.5823))), sin(mul(cos(protectedDiv(protectedDiv(cos(x), -0.2969), add(0.5823, -0.2969))), sin(sin(add(0.5823, -0.2969)))))), sub(x, x))))))), cos(protectedDiv(x, cos(sin(sin(add(protectedExp(x), protectedSqrt(sub(protectedDiv(protectedDiv(cos(0.9611), 0.4866), sub(x, x)), x))))))))), protectedSqrt(sin(0.8142))), cos(protectedSqrt(cos(cos(sin(protectedSqrt(add(protectedExp(x), sin(mul(add(protectedExp(x), sin(mul(sin(add(0.5823, -0.2969)), sin(sin(add(0.5823, x)))))), sin(sin(add(protectedExp(x), -0.2969))))))))))))))",nan
5,46,1.4226169099163052e-07,40,16,2.632716655731201,"mul(add(add(protectedSqrt(protectedSqrt(cos(neg(neg(sin(x)))))), x), protectedDiv(mul(x, x), cos(sin(sin(mul(cos(sin(neg(sin(cos(mul(sin(cos(sin(x))), protectedDiv(sin(x), -0.6593))))))), sin(sin(sin(cos(sin(x))))))))))), x)",x*(x**2/cos(sin(sin(sin(sin(sin(cos(sin(x)))))*cos(sin(sin(cos(1.5168*sin(x)*sin(cos(sin(x)))))))))) + x + cos(sin(x))**(1/4))
6,47,1.0053354309701372e-32,18,9,1.7560310363769531,"mul(add(x, mul(x, mul(x, add(x, protectedSqrt(neg(protectedSqrt(protectedDiv(x, x)))))))), protectedDiv(x, x))",x*(x*(x + I) + 1)
7,48,0.00039841642630488556,71,17,3.688695192337036,"neg(sub(protectedDiv(sin(protectedSqrt(protectedExp(protectedLog(mul(mul(mul(protectedSqrt(cos(x)), add(add(x, sub(protectedDiv(sub(neg(x), sin(mul(x, x))), mul(sub(neg(x), cos(x)), protectedExp(neg(x)))), x)), sub(protectedDiv(sub(neg(x), protectedLog(cos(protectedSqrt(x)))), mul(sub(protectedLog(protectedSqrt(x)), cos(x)), protectedExp(neg(x)))), x))), mul(0.5328, x)), protectedSqrt(protectedSqrt(x))))))), mul(sub(protectedLog(0.4669), cos(x)), protectedExp(neg(x)))), x))",x - exp(x)*sin(0.7299*sqrt(x**(5/4)*(-x - (x + log(cos(sqrt(x))))*exp(x)/(log(x)/2 - cos(x)) + (x + sin(x**2))*exp(x)/(x + cos(x)))*sqrt(cos(x))))/(-cos(x) - 0.7616)
8,49,6.162975822039155e-34,13,6,1.565047264099121,"add(mul(add(protectedSqrt(protectedExp(sub(x, x))), x), mul(x, x)), x)",x*(x*(x + 1) + 1)
9,50,0.0015199846004653622,76,17,3.5054540634155273,"mul(protectedExp(mul(add(x, protectedSqrt(mul(add(add(mul(mul(0.4424, x), cos(mul(cos(protectedDiv(add(protectedDiv(x, x), protectedExp(protectedSqrt(protectedSqrt(x)))), protectedExp(add(x, x)))), protectedDiv(x, protectedDiv(add(protectedDiv(x, x), protectedExp(protectedDiv(x, x))), protectedExp(add(x, x))))))), x), protectedSqrt(x)), protectedDiv(protectedExp(-0.5488), protectedDiv(x, x))))), protectedDiv(protectedExp(-0.5488), protectedDiv(add(sub(x, x), add(sub(x, x), protectedExp(protectedSqrt(x)))), protectedExp(x))))), mul(protectedSqrt(cos(protectedExp(-0.5488))), x))",0.9153*x*exp(0.5776*(x + sqrt(0.5776*sqrt(x) + 0.2555*x*cos(x*exp(2*x)*cos((exp(x**(1/4)) + 1)*exp(-2*x))/(1 + E)) + 0.5776*x))*exp(-sqrt(x) + x))
10,51,0.0009798504561843793,14,5,1.8951365947723389,"mul(sub(sub(protectedExp(x), protectedLog(protectedLog(-0.6755))), sin(cos(sub(x, 0.237)))), x)",x*(exp(x) - sin(cos(x - 0.237)) - log(-0.3923 + I*pi))
